mcd,age
33.87,2348.16717
33.92,2358.841886
34.02,2366.625533
34.12,2375.743519
34.17,2379.301758
34.24,2384.861506
34.31,2389.754084
34.42,2397.092951
34.46,2399.98402
34.52,2404.209428
34.62,2410.881126
34.72,2417.108043
34.77,2419.999112
34.82,2422.890181
34.92,2429.561879
35.02,2435.566406
35.07,2438.902255
35.12,2442.015714
35.22,2447.130682
35.27,2450.021751
35.32,2453.357599
35.42,2463.587536
35.52,2472.927912
35.62,2480.711559
35.67,2485.159357
35.71,2488.717596
35.82,2494.944513
35.92,2499.392312
35.98,2501.393821
36.02,2502.95055
36.12,2506.064009
36.22,2509.399858
36.27,2511.178977
36.32,2513.180487
36.41,2517.628285
36.54,2530.08212
36.565,2532.083629
36.63,2536.309038
36.8,2544.982244
36.92,2550.764382
37.02,2554.98979
37.12,2559.215199
37.21,2562.551048
37.32,2566.331676
37.42,2570.334695
37.52,2575.004883
37.62,2580.787021
37.72,2587.903498
37.82,2594.575195
37.92,2599.467773
38.02,2604.360352
38.12,2609.69771
38.22,2616.591797
38.32,2623.041104
38.42,2628.823242
38.52,2633.048651
38.57,2635.27255
38.62,2637.274059
38.67,2639.275568
38.77,2642.833807
38.82,2644.835316
38.87,2646.614435
38.97,2650.172674
39.07,2654.620472
39.17,2659.51305
39.27,2663.738459
39.37,2668.408647
39.42,2671.077326
39.47,2673.968395
39.57,2677.749023
39.67,2681.752042
39.72,2683.753551
39.77,2685.310281
39.87,2688.423739
39.97,2691.759588
40.02,2693.538707
40.07,2695.317827
40.17,2698.653675
40.23,2700.877575
40.27,2702.879084
40.34,2706.659712
40.37,2708.438832
40.47,2713.77619
40.57,2719.335938
40.62,2722.449396
40.67,2725.340465
40.77,2731.122603
40.87,2736.237571
41.17,2756.697443
41.22,2759.810902
41.27,2762.479581
41.37,2767.816939
41.47,2772.487127
41.52,2775.155806
41.57,2777.602095
41.67,2782.717063
41.72,2785.830522
41.77,2788.499201
41.82,2792.27983
41.87,2795.615678
41.97,2802.287376
42.07,2809.626243
42.17,2815.630771
42.27,2820.523349
42.37,2824.526367
42.47,2828.084606
42.57,2831.420455
42.67,2835.201083
42.77,2839.204102
42.87,2843.20712
42.97,2847.432528
43.07,2851.657937
43.17,2856.328125
43.27,2860.108754
43.34,2862.999822
43.37,2864.334162
43.47,2869.00435
43.57,2873.452148
43.62,2876.120827
43.67,2878.344727
43.77,2883.237305
43.87,2887.907493
43.92,2890.576172
43.97,2893.244851
44.1,2899.471768
44.17,2902.362837
44.21,2904.364347
44.23,2905.476296
44.27,2907.033026
44.31,2908.589755
44.41,2912.815163
44.51,2916.595792
44.61,2921.04359
44.71,2926.380948
44.81,2931.940696
44.87,2935.498935
45.01,2941.281072
45.06,2943.504972
45.11,2945.506481
45.21,2949.731889
45.31,2954.179688
45.36,2956.848366
45.38,2957.737926
45.49,2961.963335
45.63,2967.078303
45.66,2968.412642
45.71,2970.191761
45.81,2974.63956
45.91,2978.864968
45.96,2981.533647
46.01,2983.757546
46.13,2988.872514
46.21,2992.208363
46.25,2994.209872
46.31,2997.100941
46.41,3002.215909
46.45,3004.439808
46.48,3005.996538
46.56,3009.999556
46.61,3012.223455
46.71,3016.671254
46.81,3020.896662
46.86,3023.342951
46.93,3026.6788
47.01,3031.793768
47.11,3038.465465
47.16,3042.023704
47.21,3044.914773
47.31,3050.029741
47.41,3055.367099
47.46,3058.702947
47.51,3061.371626
47.63,3067.820934
47.71,3072.268732
47.76,3075.604581
47.81,3078.94043
47.91,3085.167347
47.96,3088.725586
48.01,3091.839045
48.06,3095.174893
48.11,3098.288352
48.21,3103.62571
48.31,3108.963068
48.36,3111.854137
48.41,3114.300426
48.51,3118.748224
48.61,3123.196023
48.66,3125.419922
48.71,3127.199041
48.81,3131.20206
48.91,3135.427468
48.96,3138.096147
49.01,3140.764826
49.12,3146.769354
49.17,3149.882813
49.21,3152.996271
49.27,3156.7769
49.32,3159.890359
49.37,3162.559038
49.47,3167.674006
49.57,3172.566584
49.62,3175.680043
49.67,3178.793501
49.8,3186.132369
49.87,3190.580167
49.92,3194.138406
49.97,3197.474254
50.07,3203.923562
50.17,3209.7057
50.22,3212.596768
50.27,3214.820668
50.37,3219.046076
50.42,3221.714755
50.47,3224.161044
50.52,3227.052113
50.57,3229.943182
50.67,3235.72532
50.77,3241.062678
50.82,3243.953746
50.87,3246.400036
50.97,3250.625444
51.07,3254.850852
51.12,3257.519531
51.17,3260.4106
51.27,3265.970348
51.37,3272.197266
51.42,3274.865945
51.47,3277.312234
51.57,3281.537642
51.67,3285.98544
51.72,3288.654119
51.77,3291.767578
51.87,3297.327326
51.92,3299.996005
51.97,3303.109464
52.04,3307.334872
52.07,3309.336381
52.17,3315.785689
52.27,3323.124556
52.32,3326.460405
52.37,3329.573864
52.47,3334.466442
52.57,3338.91424
52.62,3341.360529
52.67,3343.584428
52.8,3349.144176
52.87,3352.480025
52.92,3354.481534
52.97,3356.705433
53.07,3360.708452
53.17,3364.71147
53.22,3366.935369
53.27,3370.048828
53.37,3375.386186
53.42,3378.054865
53.47,3380.501154
53.57,3384.726563
53.67,3388.729581
53.77,3392.732599
53.87,3396.513228
53.97,3400.516246
54.07,3404.296875
54.17,3408.077504
54.27,3411.858132
54.37,3415.861151
54.47,3419.864169
54.57,3423.867188
54.67,3428.092596
54.77,3432.095614
54.87,3435.876243
54.97,3439.656871
55.07,3443.4375
55.17,3447.218129
55.27,3450.998757
55.37,3454.779386
55.47,3458.560014
55.57,3462.563033
55.67,3466.566051
55.8,3471.458629
55.87,3474.127308
55.97,3478.130327
56.07,3482.355735
56.17,3486.358754
56.27,3490.806552
56.37,3495.03196
56.47,3498.812589
56.57,3502.815607
56.67,3507.041016
56.77,3511.488814
56.87,3516.159002
56.98,3521.49636
57.06,3526.388938
57.07,3526.833718
57.16,3532.393466
57.17,3533.060636
57.26,3538.397994
57.36,3543.735352
57.46,3548.85032
57.56,3554.187678
57.66,3559.747425
57.76,3565.307173
57.86,3570.866921
57.98,3577.761009
58.06,3581.764027
58.16,3587.323775
58.28,3595.552202
58.36,3600